City,State,Zipcode,Gender,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,1 to 2499 USD,2500 to 4999 USD,5000 to 7499 USD,7500 to 9999 USD,10000 to 12499 USD,12500 to 14999 USD,15000 to 17499 USD,17500 to 19999 USD,20000 to 22499 USD,22500 to 24999 USD,25000 to 29999 USD,30000 to 34999 USD,35000 to 39999 USD,40000 to 44999 USD,45000 to 49999 USD,50000 to 54999 USD,55000 to 64999 USD,65000 to 74999 USD,75000 to 99999 USD,100000 or more USD,Year,State cod,Adult Obesity %,Percent of Adults Who Meet CDC-Recommended Physical Activity Levels
Charlotte,North Carolina,12000,Male,3066.0,15979.0,23013.0,34350.0,31435.0,17206.0,36757.0,7427.0,8914.0,16273.0,8898.0,5550.0,8716.0,6549.0,6997.0,5549.0,11118.0,6018.0,10710.0,7003.0,12139.0,7208.0,18112.0,14013.0,16049.0,13111.0,9830.0,11887.0,12790.0,9240.0,17841.0,37723.0,2015,NC,27.11,48.64
Columbus,Ohio,18000,Male,3668.0,18653.0,32028.0,48327.0,39251.0,20752.0,26180.0,4835.0,5865.0,9428.0,4787.0,2282.0,13601.0,11065.0,11815.0,6355.0,13509.0,6969.0,9290.0,6805.0,15329.0,8683.0,16664.0,22393.0,14100.0,14422.0,11669.0,14040.0,14216.0,11477.0,17702.0,15383.0,2015,OH,37.6,53.1
Portland,Oregon,59000,Male,3115.0,9790.0,18193.0,24281.0,30555.0,14037.0,27181.0,4915.0,7236.0,9747.0,9587.0,3184.0,12179.0,6454.0,7131.0,4427.0,8142.0,4145.0,7419.0,5244.0,13456.0,4524.0,12758.0,11424.0,9584.0,10904.0,7542.0,7964.0,12157.0,9884.0,16385.0,26025.0,2015,OR,24.8,62.5
Philadelphia,Pennsylvania,60000,Male,3443.0,14853.0,26331.0,30504.0,43454.0,18355.0,56669.0,13271.0,18374.0,36184.0,33268.0,13895.0,22712.0,15151.0,13765.0,10785.0,15772.0,10008.0,15230.0,8452.0,21792.0,10866.0,24908.0,27316.0,18755.0,21350.0,16341.0,16527.0,26459.0,20794.0,22762.0,28152.0,2015,PA,23.0,49.0
San Antonio,Texas,65000,Male,4523.0,22990.0,39358.0,54820.0,68810.0,26007.0,62829.0,10936.0,9613.0,20385.0,11025.0,8642.0,18919.0,12002.0,15494.0,9814.0,21369.0,9872.0,21576.0,13321.0,21753.0,12272.0,30500.0,31443.0,22474.0,22700.0,17192.0,17774.0,22132.0,17545.0,23433.0,30077.0,2015,TX,39.0,48.5
Seattle,Washington,63000,Male,1990.0,10890.0,20581.0,27078.0,33004.0,17329.0,41556.0,9132.0,10070.0,18359.0,8606.0,3643.0,11685.0,7019.0,7506.0,4016.0,7662.0,3268.0,6130.0,3048.0,7275.0,4661.0,10908.0,10922.0,10459.0,10497.0,8089.0,10521.0,16643.0,12638.0,25440.0,60829.0,2015,WA,16.6,28.0
Oakland,California,53000,Female,1016.0,4031.0,12539.0,14430.0,11922.0,3437.0,12831.0,3620.0,4148.0,10998.0,9897.0,5405.0,7840.0,5243.0,4911.0,4046.0,7813.0,3574.0,5243.0,3157.0,6141.0,3109.0,6020.0,7573.0,3653.0,5210.0,4061.0,5881.0,6562.0,5231.0,7921.0,12022.0,2015,CA,22.0,
San Diego,California,66000,Female,2912.0,19331.0,38838.0,56151.0,60229.0,26497.0,47992.0,5961.0,9483.0,14835.0,10387.0,4848.0,21656.0,17924.0,20121.0,14371.0,21298.0,10474.0,17153.0,10995.0,18146.0,9098.0,20862.0,21702.0,15735.0,17320.0,11215.0,16283.0,20230.0,18762.0,27675.0,29567.0,2015,CA,22.2,52.2
Denver,Colorado,20000,Female,2349.0,10167.0,17370.0,26771.0,26046.0,11666.0,27360.0,5441.0,5527.0,12395.0,5226.0,2384.0,8590.0,6558.0,6934.0,4560.0,8768.0,5348.0,7821.0,5508.0,8373.0,5496.0,9482.0,13415.0,11014.0,12730.0,8940.0,8754.0,11512.0,10231.0,14098.0,15538.0,2015,CO,19.02,56.65
Indianapolis,Indiana,36003,Female,3032.0,17436.0,25999.0,36043.0,41047.0,20879.0,26920.0,6123.0,4082.0,7289.0,3532.0,2237.0,18839.0,12224.0,12526.0,8790.0,12738.0,8338.0,11751.0,7784.0,14277.0,6325.0,19808.0,19017.0,16676.0,10958.0,8541.0,8231.0,11042.0,6641.0,9883.0,7217.0,2015,IN,28.6,36.7
Boston,Massachusetts,7000,Female,4304.0,9962.0,16277.0,19319.0,22728.0,9512.0,33241.0,5759.0,11441.0,18838.0,22000.0,4208.0,18495.0,12046.0,12408.0,6193.0,9102.0,5187.0,7824.0,3138.0,10285.0,2388.0,10856.0,13445.0,9954.0,11315.0,7604.0,10849.0,14172.0,12144.0,14878.0,18281.0,2015,MA,24.4,18.1
Detroit,Michigan,22000,Female,1534.0,6313.0,13092.0,20577.0,22815.0,6405.0,17731.0,3034.0,3885.0,6987.0,5117.0,1960.0,12308.0,10252.0,7662.0,8758.0,11634.0,6119.0,9654.0,6205.0,9088.0,4238.0,11336.0,8349.0,5167.0,5513.0,4385.0,3677.0,3740.0,2668.0,3555.0,1978.0,2015,MI,,10.7
Las Vegas,Nevada,40000,Female,1663.0,7333.0,13955.0,16521.0,24857.0,9973.0,25013.0,4037.0,4200.0,6830.0,2284.0,3232.0,8553.0,6919.0,5076.0,4412.0,7547.0,4816.0,7462.0,5358.0,8473.0,4758.0,11833.0,14721.0,8591.0,8261.0,6200.0,5580.0,6459.0,6342.0,5612.0,5472.0,2015,NV,25.2,69.8
New York,New York,51000,Female,12833.0,59380.0,100091.0,133589.0,174915.0,73974.0,312578.0,58157.0,137232.0,305720.0,352010.0,143256.0,104591.0,77882.0,96412.0,82288.0,133871.0,66714.0,104216.0,64260.0,101087.0,49494.0,123071.0,128796.0,117131.0,107252.0,78340.0,105128.0,138554.0,104757.0,178536.0,211000.0,2015,NY,25.5,
Charlotte,North Carolina,12000,Female,3024.0,13893.0,25173.0,27148.0,34043.0,13636.0,32596.0,5933.0,6448.0,13879.0,7105.0,2688.0,13882.0,9306.0,9207.0,8499.0,12483.0,7076.0,11563.0,7216.0,10151.0,7121.0,14630.0,18007.0,13740.0,16585.0,9127.0,8687.0,11808.0,8635.0,12759.0,15905.0,2015,NC,33.01,41.92
Columbus,Ohio,18000,Female,4450.0,15626.0,29139.0,42570.0,44918.0,15276.0,27697.0,5840.0,5408.0,6794.0,4223.0,2044.0,18228.0,13781.0,13017.0,8233.0,13256.0,8247.0,11347.0,8268.0,11930.0,6431.0,19339.0,19645.0,13291.0,15610.0,11950.0,10011.0,14459.0,8773.0,11485.0,6376.0,2015,OH,29.4,47.3
Portland,Oregon,59000,Female,2824.0,11029.0,18065.0,23423.0,27677.0,11663.0,21651.0,4836.0,7405.0,11536.0,6766.0,2698.0,12730.0,8489.0,7968.0,7158.0,11517.0,4036.0,7949.0,3955.0,9895.0,7197.0,12669.0,13067.0,8867.0,8467.0,7864.0,7606.0,10302.0,8604.0,13026.0,12667.0,2015,OR,19.9,58.7
Philadelphia,Pennsylvania,60000,Female,5203.0,15603.0,28297.0,40382.0,46054.0,16800.0,59442.0,10975.0,16772.0,42882.0,32809.0,12688.0,27898.0,22552.0,19911.0,15714.0,22356.0,10452.0,17217.0,10881.0,21072.0,11844.0,27340.0,28473.0,22231.0,24168.0,16652.0,16028.0,21987.0,15921.0,21304.0,17924.0,2015,PA,32.0,48.0
San Antonio,Texas,65000,Female,4003.0,21946.0,39987.0,54846.0,61595.0,20930.0,49190.0,8104.0,9277.0,18658.0,8724.0,4135.0,22804.0,16937.0,16911.0,15484.0,24482.0,14202.0,21006.0,14371.0,24249.0,12934.0,26241.0,28505.0,17845.0,18369.0,12271.0,15044.0,19326.0,10591.0,13329.0,9055.0,2015,TX,32.1,40.4
Seattle,Washington,63000,Female,2465.0,9403.0,17881.0,29565.0,27916.0,13831.0,31739.0,6687.0,8551.0,16152.0,11329.0,1892.0,11471.0,9714.0,8168.0,4234.0,7953.0,4951.0,6430.0,4155.0,9162.0,4102.0,9942.0,12573.0,10720.0,12720.0,9014.0,11060.0,17046.0,11869.0,21404.0,28827.0,2015,WA,13.7,25.0
Denver,Colorado,20000,Male,3864.0,10478.0,20528.0,30621.0,31694.0,14100.0,34370.0,6251.0,7312.0,14949.0,9783.0,2088.0,7987.0,4918.0,4357.0,3984.0,7235.0,3908.0,7588.0,4478.0,8126.0,8264.0,14128.0,14017.0,15116.0,12653.0,11188.0,12163.0,15467.0,11664.0,19142.0,34766.0,2016,CO,17.75,
Columbus,Ohio,18000,Male,4509.0,17118.0,27609.0,46817.0,44023.0,20914.0,33863.0,4491.0,4929.0,8392.0,5023.0,2532.0,15403.0,12341.0,11469.0,5778.0,12354.0,5168.0,10895.0,5290.0,13886.0,7687.0,18115.0,19373.0,15590.0,16446.0,9924.0,14462.0,17194.0,13050.0,19298.0,17690.0,2016,OH,35.2,
Philadelphia,Pennsylvania,60000,Male,4717.0,14359.0,25194.0,30292.0,45144.0,18557.0,52872.0,12074.0,18285.0,33560.0,36187.0,15358.0,23988.0,13466.0,13729.0,11222.0,19053.0,8910.0,17026.0,11083.0,19612.0,10540.0,23610.0,24616.0,20065.0,19169.0,15927.0,16876.0,25210.0,19636.0,23360.0,35294.0,2016,PA,20.0,
Denver,Colorado,20000,Female,2254.0,11340.0,16919.0,29345.0,29242.0,12350.0,29053.0,4872.0,7507.0,10641.0,4617.0,2225.0,11844.0,8202.0,7589.0,4586.0,10131.0,3776.0,7633.0,4790.0,9776.0,5522.0,13466.0,13217.0,10545.0,10734.0,10331.0,11896.0,13943.0,9753.0,12291.0,17350.0,2016,CO,19.25,
Columbus,Ohio,18000,Female,4301.0,17304.0,31346.0,38315.0,44504.0,17961.0,26126.0,4924.0,4793.0,7235.0,2768.0,2322.0,15648.0,14864.0,12472.0,6252.0,13103.0,6806.0,12046.0,6948.0,14100.0,6688.0,17810.0,21745.0,15275.0,15348.0,10224.0,11364.0,12995.0,11599.0,12345.0,6527.0,2016,OH,31.0,
Philadelphia,Pennsylvania,60000,Female,4135.0,14812.0,29568.0,32540.0,46891.0,21036.0,60159.0,10364.0,18303.0,43368.0,33658.0,11756.0,26396.0,18623.0,18602.0,11696.0,19615.0,9328.0,20507.0,12384.0,19281.0,11555.0,28834.0,31292.0,23433.0,27774.0,14345.0,17960.0,19999.0,16539.0,24238.0,17657.0,2016,PA,36.0,
