City,State,Zipcode,Gender,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,1 to 2499 USD,2500 to 4999 USD,5000 to 7499 USD,7500 to 9999 USD,10000 to 12499 USD,12500 to 14999 USD,15000 to 17499 USD,17500 to 19999 USD,20000 to 22499 USD,22500 to 24999 USD,25000 to 29999 USD,30000 to 34999 USD,35000 to 39999 USD,40000 to 44999 USD,45000 to 49999 USD,50000 to 54999 USD,55000 to 64999 USD,65000 to 74999 USD,75000 to 99999 USD,100000 or more USD,Year,State cod,Adult Obesity %,Percent of Adults Who Meet CDC-Recommended Physical Activity Levels
San Antonio,Texas,65000,Male,6865.0,23659.0,41614.0,62688.0,62282.0,26187.0,50747.0,8844.0,7650.0,17869.0,11367.0,9228.0,19356.0,18107.0,19937.0,12106.0,18850.0,10484.0,18129.0,12828.0,21402.0,13607.0,28007.0,23929.0,23430.0,17545.0,15813.0,15312.0,19274.0,16638.0,22216.0,29333.0,2013,TX,33.3,47.8
Seattle,Washington,63000,Male,2997.0,9927.0,22191.0,27344.0,31409.0,13283.0,30376.0,7214.0,9364.0,18288.0,9030.0,2280.0,11531.0,6907.0,5984.0,4561.0,6986.0,2972.0,7717.0,4344.0,8434.0,5017.0,9297.0,12442.0,10774.0,10111.0,6949.0,12039.0,13462.0,11565.0,23407.0,49753.0,2013,WA,23.0,39.5
Phoenix,Arizona,55000,Female,5478.0,22605.0,39865.0,47151.0,50983.0,24180.0,47530.0,7761.0,10596.0,18015.0,8180.0,4245.0,21248.0,15662.0,17762.0,12964.0,24010.0,11483.0,17848.0,11514.0,19057.0,12377.0,23287.0,27177.0,21161.0,19675.0,12962.0,16070.0,15550.0,10393.0,15647.0,14014.0,2013,AZ,23.7,47.9
Oakland,California,53000,Female,785.0,3904.0,10622.0,14035.0,10916.0,3595.0,13866.0,1466.0,3727.0,8562.0,7599.0,2867.0,7534.0,5807.0,4800.0,4263.0,7009.0,2871.0,4956.0,2666.0,5073.0,2281.0,5202.0,5744.0,4790.0,5637.0,2580.0,3544.0,7187.0,4908.0,7681.0,11216.0,2013,CA,21.5,
San Diego,California,66000,Female,3981.0,21704.0,36603.0,56880.0,58418.0,22902.0,38784.0,7750.0,7353.0,13084.0,6759.0,3811.0,22153.0,15320.0,16438.0,12361.0,19424.0,11645.0,17783.0,9722.0,15491.0,9786.0,19122.0,18248.0,17735.0,14397.0,14732.0,16206.0,19840.0,14701.0,26502.0,23587.0,2013,CA,18.8,56.2
San Jose,California,68000,Female,3524.0,13029.0,23022.0,32611.0,35969.0,15782.0,31776.0,4872.0,8876.0,13320.0,10423.0,4733.0,15478.0,13497.0,12385.0,8145.0,11678.0,6606.0,9127.0,7016.0,9096.0,6351.0,12235.0,12049.0,9881.0,12137.0,8450.0,11121.0,13170.0,10791.0,18642.0,26250.0,2013,CA,22.0,55.0
Denver,Colorado,20000,Female,2181.0,12381.0,19005.0,27923.0,26182.0,11376.0,26539.0,4991.0,4940.0,7042.0,3666.0,1675.0,12040.0,7812.0,8421.0,6775.0,12357.0,5836.0,7627.0,4378.0,9901.0,4144.0,12521.0,12177.0,9472.0,10085.0,7393.0,8039.0,11339.0,8919.0,9492.0,11302.0,2013,CO,24.1,54.91
Washington,District of Columbia,50000,Female,1776.0,6869.0,11405.0,18661.0,25031.0,10975.0,34668.0,9035.0,9957.0,17513.0,11173.0,3311.0,13653.0,8034.0,6193.0,4283.0,7167.0,4025.0,5882.0,4961.0,4432.0,3414.0,7282.0,9264.0,8026.0,11761.0,9442.0,8795.0,14233.0,12601.0,22490.0,28936.0,2013,DC,24.9,
Miami,Florida,45000,Female,1984.0,4859.0,10977.0,11197.0,16412.0,4771.0,17225.0,1498.0,3811.0,5672.0,4168.0,1548.0,4458.0,3174.0,6947.0,4868.0,13412.0,3913.0,8867.0,3844.0,5518.0,3413.0,6869.0,4509.0,5431.0,4186.0,2524.0,2498.0,3193.0,1892.0,2433.0,4177.0,2013,FL,27.2,
Indianapolis,Indiana,36003,Female,3612.0,19321.0,23806.0,32801.0,37849.0,17909.0,26391.0,6601.0,5495.0,6756.0,4127.0,1198.0,16506.0,11263.0,13080.0,9151.0,16896.0,7472.0,10961.0,8800.0,12265.0,6837.0,14232.0,19646.0,13352.0,14497.0,7265.0,7800.0,7835.0,6320.0,8677.0,6400.0,2013,IN,33.3,28.6
Boston,Massachusetts,7000,Female,2248.0,10534.0,12714.0,20996.0,22972.0,11974.0,32838.0,6667.0,9538.0,18876.0,11824.0,4119.0,20879.0,11561.0,10240.0,5831.0,9646.0,4639.0,7031.0,3124.0,9287.0,3190.0,11861.0,11684.0,9085.0,10924.0,9140.0,8075.0,12835.0,11033.0,15047.0,14026.0,2013,MA,23.1,20.2
Detroit,Michigan,22000,Female,1255.0,6209.0,13152.0,18576.0,19338.0,9904.0,18289.0,2597.0,2677.0,6129.0,4871.0,3719.0,14753.0,10704.0,8413.0,6147.0,8238.0,6325.0,8278.0,4139.0,8453.0,3720.0,9204.0,8197.0,6309.0,6103.0,4848.0,5076.0,5284.0,4189.0,2899.0,1829.0,2013,MI,47.1,16.6
Las Vegas,Nevada,40000,Female,2357.0,7168.0,13728.0,21130.0,24739.0,9589.0,21882.0,2403.0,5463.0,5628.0,2733.0,1873.0,8473.0,8621.0,7365.0,5122.0,8046.0,4615.0,8965.0,5634.0,7537.0,4264.0,12872.0,13775.0,8194.0,6985.0,4070.0,5578.0,5674.0,5980.0,5944.0,4766.0,2013,NV,27.1,71.6
New York,New York,51000,Female,10262.0,51571.0,95482.0,148418.0,171638.0,76910.0,300903.0,62505.0,122748.0,289261.0,325356.0,120365.0,101475.0,81584.0,93108.0,76761.0,130526.0,62223.0,92267.0,57567.0,96283.0,46631.0,122436.0,132632.0,112282.0,120391.0,85339.0,96273.0,128353.0,91348.0,162408.0,200459.0,2013,NY,24.6,64.1
Charlotte,North Carolina,12000,Female,4966.0,17313.0,24113.0,32841.0,33805.0,14786.0,26219.0,5400.0,4422.0,10577.0,4686.0,2432.0,14566.0,8858.0,11145.0,8611.0,14283.0,6142.0,12152.0,8714.0,11750.0,7435.0,15701.0,17655.0,12697.0,11178.0,9334.0,8511.0,12527.0,6712.0,9939.0,11492.0,2013,NC,22.32,44.2
Columbus,Ohio,18000,Female,4753.0,14005.0,29157.0,40871.0,45015.0,16195.0,25390.0,4229.0,3855.0,5768.0,2026.0,1552.0,18150.0,12826.0,10613.0,7772.0,11900.0,8880.0,13239.0,7419.0,12182.0,6989.0,16213.0,19518.0,13051.0,13816.0,11351.0,10546.0,10417.0,9603.0,10421.0,6129.0,2013,OH,36.1,51.1
Philadelphia,Pennsylvania,60000,Female,2770.0,16643.0,27203.0,39445.0,43871.0,16293.0,62424.0,11768.0,18144.0,36993.0,31072.0,9891.0,28312.0,16558.0,19251.0,11865.0,23873.0,12032.0,18745.0,11583.0,19635.0,11881.0,24702.0,27437.0,26014.0,23710.0,13439.0,18027.0,21658.0,14140.0,18090.0,10768.0,2013,PA,33.0,37.0
