City,State,Year,Zipcode_x,AvrgCommute,AvrgIncome,Zipcode_y,Avrg_HomeValue,MedianMonthly_HC,Zipcode,Number
Norman,Oklahoma,2013,105000,26.501930501930502,37201.94040659357,52500,164600.0,857.0,52500,40
Norman,Oklahoma,2014,105000,25.415190917054574,38452.68810637501,52500,162300.0,865.0,52500,40
Norman,Oklahoma,2015,105000,26.796947771839072,40218.102477876106,52500,180000.0,902.0,52500,40
Norman,Oklahoma,2016,105000,25.89686623414617,40300.40054892735,52500,172400.0,854.0,52500,40
Norman,Oklahoma,2017,105000,27.39277080695292,39495.00696043403,52500,174900.0,908.0,52500,40
North Charleston,South Carolina,2013,101750,25.93817995142852,30934.71944107134,50875,136600.0,897.0,50875,45
North Charleston,South Carolina,2014,101750,27.584358339280467,32518.317203645296,50875,156100.0,945.0,50875,45
North Charleston,South Carolina,2015,101750,29.326437445824904,35811.96023395689,50875,160000.0,958.0,50875,45
North Charleston,South Carolina,2016,101750,30.288041844525946,35284.419871515114,50875,152000.0,923.0,50875,45
North Charleston,South Carolina,2017,101750,28.593246399377193,39215.305643057145,50875,179600.0,1007.0,50875,45
North Las Vegas,Nevada,2013,103600,31.107582471688822,35413.60576687784,51800,138300.0,1091.0,51800,32
North Las Vegas,Nevada,2014,103600,30.83198922048109,36666.19843336352,51800,163000.0,1085.0,51800,32
North Las Vegas,Nevada,2015,103600,31.73648580884565,35741.178887933456,51800,185800.0,1083.0,51800,32
North Las Vegas,Nevada,2016,103600,32.35927387072815,38767.769802475734,51800,192600.0,1124.0,51800,32
North Las Vegas,Nevada,2017,103600,31.58926586975639,39632.620372015124,51800,226600.0,1179.0,51800,32
North Little Rock,Arkansas,2013,100900,24.80471916070143,34275.05457227139,50450,113400.0,706.0,50450,5
North Little Rock,Arkansas,2014,100900,24.360351632579835,38361.79587272382,50450,111900.0,778.0,50450,5
North Little Rock,Arkansas,2015,100900,23.74215466792349,38570.80122872359,50450,130700.0,830.0,50450,5
North Little Rock,Arkansas,2016,100900,22.142381096637386,41958.487968111076,50450,131700.0,794.0,50450,5
