City,State,Zipcode,Gender,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,1 to 2499 USD,2500 to 4999 USD,5000 to 7499 USD,7500 to 9999 USD,10000 to 12499 USD,12500 to 14999 USD,15000 to 17499 USD,17500 to 19999 USD,20000 to 22499 USD,22500 to 24999 USD,25000 to 29999 USD,30000 to 34999 USD,35000 to 39999 USD,40000 to 44999 USD,45000 to 49999 USD,50000 to 54999 USD,55000 to 64999 USD,65000 to 74999 USD,75000 to 99999 USD,100000 or more USD,Year
Fayetteville city, Arkansas,23290,Male,507.0,4269.0,5039.0,3145.0,2045.0,1240.0,1184.0,397.0,744.0,677.0,76.0,313.0,1806.0,865.0,1671.0,857.0,1640.0,1135.0,1357.0,919.0,912.0,373.0,1382.0,1047.0,986.0,534.0,1023.0,759.0,972.0,1125.0,1441.0,2590.0,2013
Fort Smith city, Arkansas,24550,Male,1371.0,2966.0,4729.0,5349.0,3441.0,219.0,532.0,0.0,179.0,722.0,138.0,176.0,1442.0,534.0,1656.0,263.0,1031.0,572.0,1148.0,1682.0,1672.0,236.0,1453.0,1551.0,1047.0,435.0,759.0,1707.0,1105.0,507.0,1391.0,1673.0,2013
Jonesboro city, Arkansas,35710,Male,309.0,2403.0,4704.0,3609.0,1594.0,424.0,1000.0,167.0,54.0,191.0,676.0,0.0,1516.0,1318.0,1322.0,445.0,903.0,250.0,927.0,41.0,810.0,502.0,2546.0,1031.0,1041.0,173.0,398.0,1161.0,672.0,679.0,1597.0,1091.0,2013
Little Rock city, Arkansas,41000,Male,1170.0,4712.0,10540.0,7410.0,13546.0,1845.0,3950.0,381.0,316.0,1415.0,957.0,953.0,2411.0,2798.0,1854.0,1864.0,2820.0,726.0,1712.0,1974.0,3143.0,1638.0,3323.0,4016.0,1592.0,3487.0,2418.0,3117.0,2375.0,1465.0,2992.0,7295.0,2013
North Little Rock city, Arkansas,50450,Male,856.0,866.0,1487.0,2920.0,3810.0,427.0,1586.0,328.0,0.0,203.0,32.0,84.0,1239.0,934.0,148.0,518.0,867.0,434.0,643.0,212.0,883.0,896.0,740.0,1691.0,854.0,525.0,267.0,965.0,838.0,897.0,1046.0,632.0,2013
Springdale city, Arkansas,66080,Male,1451.0,1772.0,4405.0,5746.0,2474.0,325.0,1573.0,213.0,346.0,1509.0,172.0,144.0,569.0,613.0,852.0,736.0,1720.0,643.0,1243.0,967.0,2027.0,314.0,2547.0,1448.0,888.0,1679.0,416.0,842.0,2137.0,518.0,1206.0,844.0,2013
Alameda city, California,00562,Male,96.0,991.0,1913.0,2275.0,2627.0,1516.0,2692.0,468.0,933.0,2717.0,1680.0,771.0,951.0,683.0,912.0,639.0,828.0,307.0,426.0,431.0,953.0,268.0,929.0,1569.0,1143.0,993.0,366.0,756.0,1320.0,700.0,2113.0,5478.0,2013
Alhambra city, California,00884,Male,220.0,446.0,2617.0,2179.0,3260.0,541.0,4828.0,861.0,712.0,2937.0,2034.0,213.0,1095.0,637.0,862.0,547.0,983.0,581.0,951.0,440.0,1146.0,2017.0,1986.0,1159.0,1292.0,1137.0,497.0,1099.0,1129.0,1229.0,1729.0,2809.0,2013
Anaheim city, California,02000,Male,264.0,3519.0,11035.0,13901.0,15287.0,4665.0,15443.0,2299.0,2951.0,5866.0,7004.0,3864.0,6075.0,3110.0,3633.0,3209.0,4473.0,2375.0,5926.0,3949.0,6471.0,3413.0,6057.0,6954.0,4887.0,3685.0,3891.0,5926.0,4695.0,3688.0,6631.0,8658.0,2013
Antioch city, California,02252,Male,186.0,737.0,1598.0,1415.0,2517.0,552.0,2672.0,879.0,1295.0,3282.0,3309.0,3091.0,841.0,1081.0,941.0,788.0,1465.0,819.0,1633.0,1179.0,1202.0,84.0,1318.0,2041.0,1463.0,808.0,769.0,971.0,1006.0,848.0,2906.0,2501.0,2013
Apple Valley town, California,02364,Male,40.0,1257.0,1167.0,1759.0,1427.0,982.0,1045.0,377.0,0.0,587.0,2413.0,1091.0,1401.0,758.0,985.0,659.0,298.0,132.0,586.0,211.0,578.0,91.0,300.0,1145.0,811.0,557.0,604.0,710.0,1508.0,1434.0,768.0,1411.0,2013
Arden-Arcade CDP, California,02553,Male,475.0,2295.0,1470.0,3138.0,4300.0,1242.0,1345.0,430.0,566.0,1178.0,685.0,911.0,2331.0,616.0,620.0,206.0,1673.0,306.0,920.0,287.0,829.0,424.0,656.0,1105.0,977.0,1686.0,1149.0,1113.0,1305.0,1269.0,1502.0,2804.0,2013
Bakersfield city, California,03526,Male,1066.0,7805.0,13749.0,15741.0,13194.0,3461.0,7154.0,1170.0,2235.0,3824.0,5833.0,2157.0,3817.0,3292.0,2345.0,2961.0,6082.0,3613.0,3527.0,2508.0,4684.0,2470.0,5015.0,6102.0,4306.0,3954.0,3088.0,4316.0,5690.0,4373.0,9132.0,9595.0,2013
Baldwin Park city, California,03666,Male,32.0,317.0,1656.0,2666.0,2919.0,753.0,3605.0,822.0,818.0,2056.0,1583.0,578.0,701.0,576.0,1330.0,852.0,823.0,1213.0,1189.0,1190.0,2054.0,760.0,1681.0,1598.0,792.0,1527.0,568.0,703.0,1174.0,717.0,625.0,332.0,2013
Bellflower city, California,04982,Male,151.0,1550.0,1319.0,2161.0,2611.0,447.0,3546.0,676.0,1312.0,1881.0,2019.0,485.0,785.0,399.0,796.0,922.0,899.0,620.0,836.0,691.0,813.0,593.0,2234.0,1971.0,1403.0,883.0,847.0,1490.0,1048.0,1572.0,1200.0,1244.0,2013
Berkeley city, California,06000,Male,410.0,2034.0,3573.0,3142.0,3067.0,1236.0,4899.0,910.0,1001.0,1971.0,2315.0,1006.0,2213.0,1979.0,1783.0,1418.0,1387.0,644.0,1769.0,829.0,1470.0,404.0,1440.0,1195.0,1634.0,1605.0,1330.0,1990.0,1644.0,1299.0,2242.0,6794.0,2013
Buena Park city, California,08786,Male,168.0,1261.0,1322.0,2979.0,2889.0,797.0,4713.0,481.0,1206.0,2376.0,1670.0,655.0,1001.0,777.0,716.0,522.0,663.0,390.0,1099.0,545.0,1420.0,405.0,1006.0,1315.0,1241.0,1205.0,1266.0,952.0,1579.0,783.0,2226.0,3204.0,2013
Burbank city, California,08954,Male,845.0,2169.0,2992.0,4520.0,3700.0,1755.0,4943.0,308.0,841.0,2216.0,1354.0,423.0,1946.0,549.0,791.0,1008.0,1411.0,501.0,1213.0,850.0,1174.0,1315.0,1503.0,1877.0,1291.0,1263.0,485.0,1558.0,1714.0,1576.0,3138.0,5533.0,2013
Camarillo city, California,10046,Male,439.0,1962.0,3164.0,3995.0,2040.0,833.0,1217.0,86.0,519.0,507.0,1226.0,490.0,873.0,227.0,434.0,292.0,395.0,604.0,325.0,397.0,725.0,71.0,491.0,708.0,948.0,952.0,312.0,1245.0,1551.0,1695.0,1850.0,4807.0,2013
Carlsbad city, California,11194,Male,717.0,1112.0,4333.0,4546.0,2564.0,1567.0,4392.0,1063.0,1428.0,2207.0,1075.0,1334.0,1364.0,1960.0,1253.0,408.0,996.0,332.0,774.0,240.0,328.0,188.0,1597.0,1263.0,783.0,1606.0,1579.0,1619.0,1552.0,1367.0,2693.0,9589.0,2013
Carmichael CDP, California,11390,Male,461.0,469.0,1630.0,2578.0,1988.0,1339.0,1994.0,261.0,347.0,369.0,530.0,625.0,570.0,625.0,609.0,826.0,468.0,486.0,544.0,368.0,1220.0,385.0,599.0,1454.0,570.0,920.0,781.0,709.0,1045.0,748.0,755.0,2404.0,2013
Carson city, California,11530,Male,279.0,1819.0,3048.0,2821.0,4164.0,644.0,4095.0,382.0,951.0,1195.0,463.0,660.0,1061.0,953.0,1090.0,814.0,1545.0,562.0,1143.0,1258.0,1123.0,457.0,1109.0,1891.0,1285.0,1301.0,997.0,739.0,2223.0,992.0,2022.0,1404.0,2013
Chico city, California,13014,Male,825.0,4211.0,7307.0,3136.0,664.0,704.0,1070.0,478.0,379.0,299.0,382.0,384.0,2109.0,1314.0,2038.0,960.0,468.0,586.0,858.0,594.0,1467.0,425.0,1855.0,1074.0,892.0,1090.0,686.0,1572.0,1644.0,1199.0,1457.0,2407.0,2013
Chino city, California,13210,Male,387.0,1319.0,1634.0,1894.0,1737.0,876.0,2273.0,854.0,1362.0,2103.0,1960.0,1182.0,1795.0,1429.0,676.0,719.0,1292.0,359.0,675.0,599.0,562.0,1020.0,1328.0,1251.0,1030.0,1320.0,469.0,709.0,1484.0,1131.0,1742.0,2078.0,2013
