City Name,Gender,1 to 2499 USD,2500 to 4999 USD,5000 to 7499 USD,7500 to 9999 USD,10000 to 12499 USD,12500 to 14999 USD,15000 to 17499 USD,17500 to 19999 USD,20000 to 22499 USD,22500 to 24999 USD,25000 to 29999 USD,30000 to 34999 USD,35000 to 39999 USD,40000 to 44999 USD,45000 to 49999 USD,50000 to 54999 USD,55000 to 64999 USD,65000 to 74999 USD,75000 to 99999 USD,100000 or more USD,State Code,Zip Code,Year,State,City
Indio city,Female,820.0,1227.0,1104.0,471.0,1599.0,874.0,1274.0,437.0,554.0,794.0,1891.0,1849.0,1154.0,335.0,497.0,629.0,1181.0,355.0,385.0,769.0,06,36448,2014, California,
Inglewood city,Female,2430.0,2047.0,1934.0,1603.0,2068.0,1532.0,1389.0,1033.0,1676.0,741.0,2367.0,2021.0,1293.0,963.0,1660.0,1404.0,1395.0,968.0,1270.0,776.0,06,36546,2014, California,
Irvine city,Female,4904.0,2739.0,2529.0,1001.0,2758.0,1674.0,2535.0,1008.0,2545.0,1596.0,1543.0,2793.0,3194.0,3751.0,1920.0,2437.0,4606.0,4131.0,7144.0,8523.0,06,36770,2014, California,
Jurupa Valley city,Female,1515.0,1170.0,1398.0,1421.0,1436.0,358.0,1514.0,471.0,976.0,1037.0,862.0,1122.0,934.0,692.0,624.0,416.0,691.0,373.0,908.0,308.0,06,37692,2014, California,
Laguna Niguel city,Female,1331.0,746.0,1108.0,221.0,1007.0,347.0,755.0,326.0,924.0,399.0,736.0,566.0,410.0,697.0,636.0,1046.0,757.0,509.0,2499.0,2398.0,06,39248,2014, California,
Lake Forest city,Female,1227.0,671.0,910.0,748.0,1619.0,667.0,509.0,362.0,1164.0,835.0,966.0,1092.0,1225.0,1603.0,528.0,1061.0,1703.0,1046.0,2647.0,2099.0,06,39496,2014, California,
Lakewood city,Female,925.0,864.0,1563.0,724.0,1237.0,609.0,886.0,271.0,1037.0,985.0,1653.0,1123.0,1187.0,1160.0,987.0,1253.0,1945.0,1084.0,1741.0,1109.0,06,39892,2014, California,
Lancaster city,Female,1531.0,1429.0,1110.0,657.0,1273.0,646.0,607.0,499.0,1179.0,1599.0,2292.0,4823.0,2240.0,1745.0,1156.0,1094.0,1561.0,808.0,936.0,962.0,06,40130,2014, California,
Livermore city,Female,2034.0,1149.0,1017.0,753.0,1482.0,455.0,750.0,1097.0,1005.0,282.0,650.0,1389.0,1859.0,1283.0,702.0,1285.0,1305.0,844.0,1670.0,3048.0,06,41992,2014, California,
Long Beach city,Female,6864.0,4083.0,6915.0,4599.0,7014.0,3370.0,6264.0,3596.0,4224.0,3891.0,7103.0,7594.0,4254.0,5927.0,4058.0,4042.0,5993.0,4842.0,8908.0,6913.0,06,43000,2014, California,
Los Angeles city,Female,59335.0,48208.0,52784.0,44862.0,64985.0,40034.0,59744.0,34523.0,52812.0,29845.0,53419.0,54496.0,43756.0,42317.0,30344.0,36086.0,48040.0,36777.0,55315.0,67197.0,06,44000,2014, California,
Lynwood city,Female,952.0,853.0,666.0,1017.0,1098.0,1673.0,1337.0,832.0,880.0,813.0,1373.0,1035.0,874.0,178.0,176.0,263.0,183.0,71.0,41.0,92.0,06,44574,2014, California,
Manteca city,Female,1402.0,857.0,664.0,785.0,1593.0,673.0,732.0,272.0,471.0,301.0,306.0,1354.0,792.0,1057.0,383.0,1107.0,895.0,540.0,833.0,654.0,06,45484,2014, California,
Menifee city,Female,1152.0,870.0,1366.0,734.0,1621.0,379.0,1330.0,631.0,1208.0,325.0,876.0,944.0,397.0,732.0,354.0,809.0,859.0,1257.0,1365.0,672.0,06,46842,2014, California,
Merced city,Female,1121.0,786.0,1554.0,1176.0,1016.0,1235.0,596.0,302.0,963.0,663.0,1575.0,832.0,1264.0,587.0,263.0,534.0,967.0,622.0,841.0,298.0,06,46898,2014, California,
Milpitas city,Female,669.0,944.0,666.0,708.0,1089.0,362.0,1052.0,768.0,779.0,129.0,1032.0,1337.0,725.0,1220.0,973.0,1533.0,1421.0,946.0,1542.0,2180.0,06,47766,2014, California,
Mission Viejo city,Female,1200.0,1473.0,1331.0,877.0,1994.0,943.0,913.0,557.0,553.0,704.0,1571.0,1535.0,668.0,1072.0,1271.0,1238.0,1114.0,1371.0,2774.0,2591.0,06,48256,2014, California,
Modesto city,Female,2989.0,2272.0,2882.0,2012.0,3551.0,1390.0,1751.0,1445.0,2602.0,1631.0,4023.0,2904.0,1741.0,3766.0,2242.0,1097.0,2098.0,1827.0,2042.0,1437.0,06,48354,2014, California,
Moreno Valley city,Female,4028.0,2188.0,2527.0,1635.0,3536.0,1892.0,2234.0,1506.0,2439.0,1620.0,2473.0,2644.0,1754.0,1986.0,1205.0,1473.0,1159.0,642.0,2216.0,1397.0,06,49270,2014, California,
Mountain View city,Female,998.0,456.0,841.0,478.0,457.0,331.0,521.0,291.0,456.0,270.0,444.0,721.0,1140.0,1134.0,829.0,816.0,989.0,1526.0,2824.0,5044.0,06,49670,2014, California,
Murrieta city,Female,1720.0,1822.0,1968.0,726.0,1485.0,536.0,1841.0,308.0,925.0,923.0,1574.0,1333.0,1014.0,574.0,581.0,421.0,1092.0,1030.0,1792.0,1399.0,06,50076,2014, California,
Napa city,Female,1437.0,533.0,1191.0,407.0,2350.0,780.0,1247.0,601.0,1313.0,597.0,1348.0,1043.0,371.0,490.0,706.0,865.0,991.0,1011.0,1666.0,1581.0,06,50258,2014, California,
Newport Beach city,Female,705.0,306.0,774.0,497.0,854.0,495.0,352.0,586.0,398.0,547.0,750.0,1066.0,835.0,590.0,1091.0,1099.0,1968.0,893.0,2885.0,4812.0,06,51182,2014, California,
Norwalk city,Female,612.0,603.0,1547.0,1640.0,1588.0,1646.0,1937.0,1333.0,1656.0,874.0,1996.0,987.0,1290.0,1303.0,770.0,1150.0,1195.0,745.0,840.0,334.0,06,52526,2014, California,
Oakland city,Female,7838.0,3812.0,5685.0,4958.0,6122.0,2741.0,4277.0,3292.0,5828.0,3340.0,5938.0,5594.0,6759.0,6578.0,4206.0,4588.0,6704.0,4529.0,8008.0,10048.0,06,53000,2014, California,
Oceanside city,Female,2354.0,1669.0,2056.0,1375.0,2920.0,968.0,1143.0,1556.0,1841.0,1269.0,2688.0,2549.0,2070.0,1943.0,1680.0,1819.0,2211.0,1325.0,2723.0,1940.0,06,53322,2014, California,
Ontario city,Female,3252.0,2535.0,2828.0,1677.0,3295.0,1515.0,2309.0,1749.0,1849.0,1175.0,2770.0,2736.0,1275.0,1842.0,1328.0,1413.0,1402.0,1404.0,986.0,1063.0,06,53896,2014, California,
Orange city,Female,2798.0,906.0,1594.0,1162.0,2139.0,1849.0,1560.0,778.0,1058.0,914.0,1749.0,2087.0,1383.0,1424.0,1054.0,2149.0,1896.0,1602.0,3396.0,2400.0,06,53980,2014, California,
Oxnard city,Female,2075.0,3057.0,3406.0,2753.0,4386.0,1185.0,3731.0,2326.0,3520.0,1610.0,3588.0,2780.0,2023.0,2005.0,1271.0,1560.0,1204.0,1198.0,1509.0,1822.0,06,54652,2014, California,
Palmdale city,Female,1733.0,907.0,2362.0,1451.0,2314.0,1091.0,1913.0,1816.0,1711.0,1057.0,1081.0,1811.0,2061.0,1366.0,1266.0,901.0,977.0,968.0,2163.0,695.0,06,55156,2014, California,
Palo Alto city,Female,1312.0,560.0,728.0,268.0,538.0,366.0,358.0,153.0,210.0,267.0,181.0,304.0,196.0,535.0,477.0,227.0,1131.0,828.0,1917.0,5947.0,06,55282,2014, California,
Pasadena city,Female,2003.0,1225.0,2053.0,1102.0,1992.0,1337.0,1487.0,966.0,1181.0,563.0,1027.0,1797.0,1470.0,1584.0,679.0,1578.0,1901.0,2082.0,2849.0,5555.0,06,56000,2014, California,
Perris city,Female,1384.0,441.0,1357.0,138.0,968.0,946.0,767.0,988.0,1288.0,783.0,1185.0,345.0,1016.0,485.0,194.0,208.0,194.0,39.0,139.0,0.0,06,56700,2014, California,
Pittsburg city,Female,1161.0,950.0,792.0,817.0,1255.0,267.0,1061.0,346.0,1339.0,304.0,496.0,1064.0,1332.0,498.0,1121.0,1996.0,1049.0,1245.0,816.0,444.0,06,57456,2014, California,
Pleasanton city,Female,1193.0,888.0,880.0,292.0,614.0,45.0,323.0,290.0,749.0,335.0,1216.0,646.0,842.0,635.0,609.0,998.0,717.0,1227.0,2110.0,3656.0,06,57792,2014, California,
Pomona city,Female,2938.0,2174.0,2444.0,2222.0,2507.0,1363.0,1861.0,837.0,1411.0,776.0,1469.0,2921.0,1120.0,1298.0,654.0,936.0,1237.0,661.0,1124.0,1042.0,06,58072,2014, California,
Rancho Cordova city,Female,1270.0,821.0,1001.0,583.0,1581.0,345.0,1002.0,1090.0,851.0,546.0,1196.0,1225.0,909.0,1134.0,383.0,1102.0,758.0,967.0,1338.0,1013.0,06,59444,2014, California,
Rancho Cucamonga city,Female,2072.0,2320.0,2460.0,1677.0,1967.0,1056.0,2189.0,2325.0,2290.0,818.0,1471.0,3016.0,2299.0,1533.0,1918.0,2795.0,2315.0,1943.0,4420.0,2724.0,06,59451,2014, California,
Redding city,Female,1503.0,1366.0,1640.0,994.0,1991.0,645.0,1295.0,685.0,973.0,641.0,1609.0,2409.0,1033.0,706.0,688.0,927.0,826.0,535.0,779.0,712.0,06,59920,2014, California,
Redlands city,Female,812.0,439.0,699.0,398.0,1106.0,0.0,112.0,337.0,668.0,302.0,625.0,841.0,676.0,841.0,373.0,906.0,1057.0,654.0,1077.0,1322.0,06,59962,2014, California,
Redondo Beach city,Female,348.0,832.0,660.0,542.0,330.0,108.0,564.0,731.0,721.0,313.0,1088.0,480.0,1152.0,1224.0,651.0,1172.0,1478.0,838.0,1917.0,3025.0,06,60018,2014, California,
Redwood City city,Female,983.0,847.0,1021.0,769.0,1298.0,442.0,925.0,102.0,818.0,104.0,512.0,810.0,875.0,543.0,862.0,717.0,572.0,1260.0,2563.0,3949.0,06,60102,2014, California,
Rialto city,Female,2177.0,1473.0,1871.0,843.0,1197.0,516.0,1153.0,601.0,1490.0,1578.0,990.0,1550.0,1290.0,1006.0,686.0,486.0,354.0,469.0,386.0,518.0,06,60466,2014, California,
Richmond city,Female,2119.0,1540.0,1860.0,1239.0,1712.0,920.0,1865.0,606.0,1030.0,782.0,1341.0,1549.0,1237.0,1945.0,587.0,921.0,1520.0,609.0,1373.0,1640.0,06,60620,2014, California,
Riverside city,Female,4636.0,5489.0,4918.0,3938.0,5495.0,2742.0,4050.0,2382.0,3928.0,2388.0,6190.0,3822.0,3632.0,3232.0,1844.0,2385.0,2547.0,2975.0,4307.0,2473.0,06,62000,2014, California,
Roseville city,Female,2390.0,1852.0,985.0,574.0,1257.0,774.0,1257.0,211.0,1118.0,458.0,1148.0,1339.0,1827.0,2091.0,640.0,1089.0,2508.0,1685.0,4136.0,4339.0,06,62938,2014, California,
Sacramento city,Female,7651.0,5378.0,6456.0,4304.0,7751.0,3537.0,4341.0,4096.0,6850.0,2821.0,7497.0,6542.0,4883.0,6588.0,4494.0,4670.0,5873.0,5585.0,8210.0,5969.0,06,64000,2014, California,
Salinas city,Female,1233.0,2084.0,1722.0,2621.0,1647.0,2848.0,5258.0,1271.0,3139.0,586.0,2194.0,1366.0,1684.0,1356.0,938.0,932.0,867.0,720.0,1530.0,739.0,06,64224,2014, California,
San Bernardino city,Female,4357.0,2980.0,3747.0,2399.0,3236.0,1725.0,2619.0,778.0,2701.0,1016.0,2497.0,2414.0,1569.0,2057.0,1391.0,1354.0,947.0,643.0,775.0,809.0,06,65000,2014, California,
San Buenaventura (Ventura) city,Female,1068.0,1354.0,1123.0,928.0,1378.0,658.0,1257.0,297.0,1477.0,497.0,2252.0,2905.0,848.0,1322.0,568.0,1018.0,1538.0,2045.0,2852.0,2063.0,06,65042,2014, California,
San Clemente city,Female,1120.0,753.0,1655.0,515.0,909.0,684.0,338.0,728.0,1136.0,237.0,621.0,470.0,1017.0,973.0,481.0,477.0,1303.0,581.0,1382.0,1469.0,06,65084,2014, California,
San Diego city,Female,21181.0,15538.0,14865.0,15622.0,19072.0,13992.0,15187.0,10159.0,17677.0,8445.0,18348.0,20512.0,16433.0,18294.0,13241.0,15150.0,20611.0,15497.0,26162.0,29559.0,06,66000,2014, California,
San Francisco city,Female,12264.0,7572.0,9094.0,7046.0,13287.0,6034.0,6797.0,4208.0,9342.0,4649.0,9324.0,14608.0,9075.0,15798.0,9751.0,11211.0,16546.0,15437.0,27691.0,41450.0,06,67000,2014, California,
San Jose city,Female,15165.0,10256.0,12998.0,9071.0,13334.0,8796.0,12781.0,6331.0,12422.0,7760.0,11620.0,14235.0,12398.0,11807.0,7097.0,8875.0,14724.0,9781.0,19378.0,29457.0,06,68000,2014, California,
San Leandro city,Female,753.0,998.0,651.0,1063.0,1015.0,1179.0,362.0,526.0,1649.0,1128.0,1483.0,1791.0,2250.0,1153.0,1129.0,1833.0,1403.0,1022.0,1958.0,1464.0,06,68084,2014, California,
San Marcos city,Female,2300.0,726.0,1275.0,569.0,604.0,306.0,1432.0,618.0,1086.0,218.0,1071.0,1396.0,1021.0,1113.0,1195.0,444.0,1438.0,896.0,1427.0,1067.0,06,68196,2014, California,
San Mateo city,Female,1169.0,978.0,995.0,990.0,938.0,812.0,1381.0,685.0,1332.0,868.0,813.0,1724.0,1215.0,1095.0,844.0,1399.0,1371.0,1134.0,3075.0,5571.0,06,68252,2014, California,
San Ramon city,Female,1018.0,920.0,747.0,533.0,303.0,455.0,553.0,73.0,301.0,132.0,1031.0,491.0,596.0,1007.0,251.0,975.0,883.0,739.0,1866.0,4663.0,06,68378,2014, California,
Santa Ana city,Female,3261.0,2482.0,4141.0,3516.0,6581.0,4699.0,5831.0,3271.0,4346.0,3563.0,5736.0,4316.0,3124.0,2455.0,1968.0,1279.0,2281.0,1302.0,1836.0,1352.0,06,69000,2014, California,
Santa Barbara city,Female,1510.0,1526.0,1013.0,719.0,1674.0,1402.0,1370.0,618.0,1071.0,923.0,655.0,1371.0,827.0,1171.0,1033.0,897.0,1462.0,1501.0,1095.0,1925.0,06,69070,2014, California,
Santa Clara city,Female,2407.0,1610.0,1020.0,380.0,1528.0,631.0,1245.0,517.0,1128.0,570.0,1903.0,967.0,1247.0,1015.0,476.0,1200.0,1471.0,1545.0,4021.0,4548.0,06,69084,2014, California,
Santa Clarita city,Female,3312.0,2262.0,1925.0,2073.0,2849.0,1084.0,2316.0,894.0,2757.0,1165.0,2022.0,2462.0,1500.0,1939.0,1620.0,1576.0,2862.0,3708.0,4036.0,2828.0,06,69088,2014, California,
Santa Maria city,Female,1582.0,1190.0,1915.0,1134.0,2119.0,764.0,1465.0,1275.0,1783.0,804.0,1284.0,892.0,1254.0,822.0,858.0,252.0,835.0,394.0,526.0,192.0,06,69196,2014, California,
Santa Monica city,Female,1435.0,589.0,1788.0,402.0,778.0,627.0,1014.0,376.0,1260.0,660.0,941.0,705.0,759.0,2449.0,748.0,2034.0,2531.0,2138.0,3758.0,5260.0,06,70000,2014, California,
Santa Rosa city,Female,2857.0,1984.0,3255.0,2003.0,2806.0,1271.0,1744.0,1673.0,1346.0,1582.0,2988.0,3486.0,2429.0,2504.0,1929.0,1678.0,3097.0,1810.0,2958.0,2479.0,06,70098,2014, California,
Simi Valley city,Female,1883.0,1568.0,1865.0,1540.0,2005.0,1433.0,1974.0,488.0,1542.0,829.0,1813.0,1903.0,1466.0,1868.0,946.0,1334.0,1960.0,1969.0,2681.0,2375.0,06,72016,2014, California,
South Gate city,Female,1548.0,1381.0,2257.0,1292.0,1698.0,1433.0,2119.0,927.0,1446.0,549.0,1264.0,1479.0,1434.0,775.0,293.0,443.0,744.0,518.0,305.0,37.0,06,73080,2014, California,
South San Francisco city,Female,727.0,241.0,800.0,210.0,722.0,214.0,1429.0,741.0,1461.0,110.0,1091.0,431.0,1157.0,1694.0,1187.0,1929.0,1508.0,482.0,2042.0,1953.0,06,73262,2014, California,
Stockton city,Female,5669.0,3231.0,3153.0,3290.0,3842.0,2705.0,3067.0,2322.0,3811.0,1545.0,4125.0,3258.0,3594.0,2268.0,2350.0,1528.0,3367.0,2621.0,2528.0,1431.0,06,75000,2014, California,
Sunnyvale city,Female,1434.0,1389.0,967.0,1064.0,1274.0,803.0,832.0,846.0,1559.0,152.0,1125.0,1485.0,1652.0,2061.0,1135.0,944.0,1568.0,2013.0,4024.0,7885.0,06,77000,2014, California,
Temecula city,Female,2285.0,1349.0,1582.0,1010.0,1809.0,420.0,1058.0,688.0,2248.0,793.0,1487.0,1546.0,1266.0,758.0,730.0,1108.0,1037.0,2675.0,2219.0,1248.0,06,78120,2014, California,
Thousand Oaks city,Female,2205.0,1738.0,1407.0,1016.0,1226.0,909.0,755.0,373.0,1442.0,1028.0,1389.0,2173.0,1438.0,1750.0,975.0,974.0,1747.0,861.0,3290.0,4835.0,06,78582,2014, California,
Torrance city,Female,2681.0,1515.0,1425.0,1169.0,1675.0,620.0,1040.0,552.0,1444.0,937.0,1481.0,1319.0,1098.0,2435.0,1052.0,1378.0,2608.0,2044.0,3922.0,3576.0,06,80000,2014, California,
Tracy city,Female,1406.0,1069.0,1084.0,692.0,1830.0,1062.0,642.0,527.0,766.0,554.0,1709.0,987.0,984.0,598.0,367.0,1097.0,1606.0,657.0,786.0,494.0,06,80238,2014, California,
Turlock city,Female,1126.0,469.0,1054.0,944.0,1075.0,450.0,685.0,471.0,1034.0,629.0,306.0,1277.0,745.0,862.0,714.0,894.0,638.0,360.0,1093.0,530.0,06,80812,2014, California,
Tustin city,Female,1266.0,801.0,1712.0,941.0,2398.0,650.0,984.0,849.0,930.0,359.0,1553.0,1219.0,912.0,904.0,817.0,858.0,843.0,525.0,2089.0,1978.0,06,80854,2014, California,
Union City city,Female,545.0,609.0,559.0,512.0,1463.0,268.0,427.0,419.0,1461.0,730.0,899.0,579.0,511.0,1606.0,928.0,801.0,952.0,1396.0,1219.0,1438.0,06,81204,2014, California,
Upland city,Female,954.0,1281.0,495.0,477.0,275.0,438.0,483.0,846.0,1385.0,429.0,1077.0,1208.0,632.0,928.0,294.0,945.0,1190.0,781.0,1186.0,1202.0,06,81344,2014, California,
Vacaville city,Female,1579.0,795.0,1205.0,1189.0,2272.0,419.0,643.0,193.0,826.0,995.0,1127.0,1180.0,1412.0,1277.0,967.0,1306.0,1290.0,611.0,1016.0,1640.0,06,81554,2014, California,
Vallejo city,Female,2268.0,1807.0,2225.0,1305.0,1808.0,706.0,809.0,1299.0,1623.0,749.0,1602.0,1069.0,1853.0,1130.0,992.0,940.0,1986.0,2027.0,1842.0,1789.0,06,81666,2014, California,
Victorville city,Female,1464.0,934.0,905.0,1139.0,1906.0,955.0,508.0,394.0,3140.0,464.0,1653.0,1260.0,1465.0,449.0,1547.0,900.0,964.0,690.0,865.0,286.0,06,82590,2014, California,
Visalia city,Female,1442.0,1324.0,1671.0,871.0,2670.0,1169.0,1388.0,1063.0,1883.0,977.0,948.0,2525.0,1279.0,807.0,1129.0,1220.0,585.0,1465.0,702.0,1052.0,06,82954,2014, California,
Vista city,Female,1290.0,516.0,878.0,784.0,1975.0,1035.0,1873.0,1050.0,1490.0,860.0,2799.0,1596.0,880.0,1066.0,188.0,450.0,762.0,633.0,702.0,497.0,06,82996,2014, California,
Walnut Creek city,Female,1048.0,596.0,983.0,209.0,742.0,346.0,312.0,580.0,250.0,552.0,336.0,680.0,448.0,697.0,503.0,1009.0,1070.0,1722.0,1613.0,2738.0,06,83346,2014, California,
West Covina city,Female,1480.0,1769.0,1123.0,859.0,1625.0,607.0,981.0,877.0,1414.0,636.0,1784.0,1793.0,2064.0,1856.0,1265.0,1028.0,910.0,1243.0,1638.0,919.0,06,84200,2014, California,
Westminster city,Female,1452.0,1207.0,2291.0,1213.0,1155.0,925.0,1048.0,638.0,909.0,557.0,907.0,1155.0,554.0,1719.0,515.0,670.0,1197.0,1164.0,949.0,874.0,06,84550,2014, California,
Whittier city,Female,1253.0,865.0,945.0,1069.0,1088.0,552.0,756.0,630.0,2161.0,707.0,890.0,1496.0,1135.0,816.0,856.0,889.0,671.0,794.0,1551.0,960.0,06,85292,2014, California,
Yorba Linda city,Female,1243.0,347.0,895.0,810.0,1052.0,302.0,636.0,261.0,495.0,270.0,539.0,951.0,361.0,499.0,634.0,521.0,1174.0,1247.0,2038.0,2276.0,06,86832,2014, California,
Yuba City city,Female,1312.0,535.0,1094.0,710.0,630.0,272.0,783.0,695.0,650.0,442.0,954.0,1165.0,816.0,1296.0,671.0,913.0,398.0,409.0,463.0,402.0,06,86972,2014, California,
Arvada city,Female,2207.0,1491.0,1512.0,1265.0,1657.0,1125.0,1198.0,991.0,2020.0,425.0,2078.0,3033.0,2287.0,2016.0,1323.0,1514.0,2384.0,1493.0,2237.0,1362.0,08,03455,2014, Colorado,
Aurora city,Female,5728.0,4324.0,4430.0,3758.0,5111.0,2542.0,4525.0,3754.0,4646.0,2579.0,5675.0,8397.0,6262.0,5879.0,5185.0,2567.0,6033.0,4085.0,3906.0,3177.0,08,04000,2014, Colorado,
Boulder city,Female,4503.0,3276.0,1740.0,2048.0,1518.0,889.0,1013.0,978.0,854.0,1076.0,922.0,1297.0,783.0,1148.0,825.0,1443.0,1374.0,1479.0,1839.0,1817.0,08,07850,2014, Colorado,
Centennial city,Female,1736.0,1218.0,1682.0,764.0,966.0,311.0,1335.0,501.0,906.0,540.0,1026.0,1330.0,1762.0,1765.0,1219.0,1555.0,2825.0,1675.0,2781.0,2016.0,08,12815,2014, Colorado,
Colorado Springs city,Female,11198.0,7464.0,6335.0,4801.0,6985.0,3859.0,5023.0,3478.0,5964.0,3790.0,7161.0,8201.0,7425.0,6672.0,4133.0,5926.0,4794.0,3555.0,4868.0,3609.0,08,16000,2014, Colorado,
Denver city,Female,9555.0,7751.0,8773.0,7760.0,8571.0,4309.0,9790.0,4419.0,8409.0,5058.0,9209.0,12536.0,12047.0,10720.0,8207.0,8738.0,12201.0,8365.0,12253.0,13662.0,08,20000,2014, Colorado,
Fort Collins city,Female,5749.0,4591.0,2895.0,2204.0,2561.0,1356.0,3346.0,1374.0,2527.0,1839.0,2658.0,2618.0,2793.0,2686.0,1253.0,1789.0,1532.0,1257.0,1732.0,1785.0,08,27425,2014, Colorado,
Greeley city,Female,2824.0,2333.0,1837.0,1056.0,1499.0,864.0,1496.0,476.0,888.0,581.0,1986.0,2299.0,1106.0,1222.0,639.0,929.0,639.0,514.0,911.0,375.0,08,32155,2014, Colorado,
Highlands Ranch CDP,Female,1666.0,1817.0,948.0,852.0,932.0,444.0,1116.0,651.0,1085.0,380.0,1426.0,1169.0,1377.0,1159.0,994.0,1570.0,2443.0,1634.0,2873.0,3252.0,08,36410,2014, Colorado,
Lakewood city,Female,2199.0,1403.0,1272.0,1356.0,2361.0,903.0,2236.0,735.0,1831.0,1094.0,2294.0,2795.0,4291.0,3230.0,2133.0,1776.0,1213.0,2159.0,2718.0,2443.0,08,43000,2014, Colorado,
Longmont city,Female,2335.0,1382.0,1343.0,1154.0,1175.0,1049.0,1072.0,1424.0,1196.0,780.0,2361.0,951.0,1561.0,1083.0,849.0,1445.0,635.0,999.0,991.0,1434.0,08,45970,2014, Colorado,
Loveland city,Female,1570.0,1087.0,974.0,1299.0,755.0,172.0,1224.0,1375.0,1657.0,1140.0,1834.0,1649.0,810.0,422.0,768.0,541.0,987.0,1020.0,549.0,617.0,08,46465,2014, Colorado,
Pueblo city,Female,1670.0,1232.0,1220.0,1903.0,1556.0,920.0,1041.0,863.0,1285.0,792.0,1776.0,2320.0,2035.0,1300.0,866.0,766.0,1069.0,834.0,320.0,227.0,08,62000,2014, Colorado,
Thornton city,Female,1803.0,1633.0,1165.0,899.0,1880.0,1020.0,1414.0,1463.0,1400.0,854.0,2222.0,3530.0,2401.0,2675.0,2251.0,1440.0,2521.0,1466.0,1872.0,710.0,08,77290,2014, Colorado,
Westminster city,Female,2126.0,1199.0,1358.0,556.0,1097.0,1144.0,985.0,522.0,1422.0,686.0,1457.0,1995.0,1942.0,2561.0,1124.0,1297.0,1967.0,1602.0,2300.0,1816.0,08,83835,2014, Colorado,
Bridgeport city,Female,2665.0,1631.0,1873.0,1772.0,2545.0,1603.0,2815.0,1088.0,2453.0,921.0,3560.0,2597.0,2034.0,1946.0,1493.0,1338.0,1501.0,1027.0,1675.0,1061.0,09,08000,2014, Connecticut,
Danbury city,Female,1459.0,1334.0,1286.0,1104.0,1158.0,824.0,1183.0,498.0,1723.0,648.0,1262.0,1834.0,494.0,1189.0,720.0,1170.0,783.0,1412.0,1160.0,1769.0,09,18430,2014, Connecticut,
Hartford city,Female,3473.0,1235.0,1650.0,1395.0,1928.0,1442.0,1723.0,1390.0,1424.0,1029.0,2831.0,2365.0,1697.0,714.0,1359.0,828.0,589.0,547.0,1508.0,840.0,09,37000,2014, Connecticut,
New Britain city,Female,1360.0,1145.0,740.0,883.0,970.0,520.0,931.0,452.0,1166.0,790.0,1715.0,1975.0,1574.0,906.0,599.0,431.0,838.0,338.0,466.0,527.0,09,50370,2014, Connecticut,
New Haven city,Female,3054.0,2476.0,2213.0,1303.0,2748.0,1504.0,1496.0,1211.0,2302.0,729.0,1472.0,2194.0,1355.0,1868.0,1203.0,1731.0,2300.0,1569.0,1731.0,1814.0,09,52000,2014, Connecticut,
Norwalk city,Female,1709.0,959.0,833.0,662.0,1136.0,255.0,1894.0,750.0,1225.0,295.0,1043.0,1932.0,1194.0,937.0,1617.0,1091.0,1283.0,1920.0,2156.0,3008.0,09,55990,2014, Connecticut,
Stamford city,Female,1705.0,1662.0,1636.0,1348.0,1533.0,691.0,1646.0,783.0,1459.0,619.0,1758.0,1796.0,1664.0,2239.0,1185.0,681.0,1413.0,2213.0,2854.0,6096.0,09,73000,2014, Connecticut,
Waterbury city,Female,1915.0,1197.0,1419.0,1249.0,1120.0,658.0,1407.0,546.0,1543.0,1047.0,1796.0,998.0,1214.0,997.0,840.0,955.0,887.0,556.0,1215.0,902.0,09,80000,2014, Connecticut,
Wilmington city,Female,974.0,760.0,495.0,671.0,1260.0,776.0,694.0,923.0,1041.0,336.0,1771.0,1297.0,1558.0,1379.0,1134.0,736.0,1185.0,727.0,722.0,1089.0,10,77580,2014, Delaware,
Washington city,Female,17021.0,7935.0,5972.0,4906.0,7838.0,2984.0,5846.0,2929.0,6955.0,3521.0,10929.0,11746.0,7415.0,9484.0,7837.0,8649.0,13703.0,11297.0,21172.0,35355.0,11,50000,2014, District of Columbia,
Alafaya CDP,Female,746.0,1424.0,2466.0,967.0,2121.0,552.0,622.0,865.0,1439.0,731.0,1213.0,1420.0,1506.0,2358.0,42.0,328.0,620.0,1141.0,470.0,768.0,12,00410,2014, Florida,
Boca Raton city,Female,1709.0,1459.0,2425.0,534.0,1416.0,532.0,1076.0,403.0,1215.0,323.0,2223.0,1048.0,1195.0,1708.0,470.0,1405.0,1390.0,1721.0,1992.0,1619.0,12,07300,2014, Florida,
Boynton Beach city,Female,1017.0,676.0,748.0,1411.0,1146.0,875.0,1711.0,301.0,876.0,94.0,1340.0,1187.0,1499.0,992.0,1066.0,744.0,1090.0,776.0,491.0,612.0,12,07875,2014, Florida,
Brandon CDP,Female,1639.0,583.0,1048.0,720.0,1845.0,1240.0,1091.0,1296.0,1579.0,500.0,2636.0,3948.0,1427.0,2542.0,1862.0,1888.0,2348.0,1069.0,998.0,386.0,12,08150,2014, Florida,
Cape Coral city,Female,1844.0,1565.0,1929.0,1667.0,2892.0,1566.0,1867.0,1268.0,2818.0,977.0,3902.0,3610.0,2568.0,2049.0,1382.0,1211.0,2070.0,1023.0,2084.0,1121.0,12,10275,2014, Florida,
