City,State,Zip Code,Median Home Value USD,Year
Livermore,California,41992,745600.0,2017
Lodi,California,42202,326800.0,2017
Long Beach,California,43000,557700.0,2017
Los Angeles,California,44000,647000.0,2017
Lynwood,California,44574,412500.0,2017
Madera,California,45022,210800.0,2017
Manteca,California,45484,374800.0,2017
Menifee,California,46842,339000.0,2017
Merced,California,46898,222700.0,2017
Milpitas,California,47766,854100.0,2017
Mission Viejo,California,48256,694600.0,2017
Modesto,California,48354,279600.0,2017
Moreno Valley,California,49270,305900.0,2017
Mountain View,California,49670,1461400.0,2017
Murrieta,California,50076,417000.0,2017
Napa,California,50258,633200.0,2017
Newport Beach,California,51182,1902000.0,2017
Norwalk,California,52526,441000.0,2017
Oakland,California,53000,686700.0,2017
Oceanside,California,53322,514600.0,2017
Ontario,California,53896,369700.0,2017
Orange,California,53980,656300.0,2017
Oxnard,California,54652,458400.0,2017
Palmdale,California,55156,274100.0,2017
Palo Alto,California,55282,2000001.0,2017
Pasadena,California,56000,802500.0,2017
Perris,California,56700,283300.0,2017
Pittsburg,California,57456,387700.0,2017
Pleasanton,California,57792,997500.0,2017
Pomona,California,58072,405000.0,2017
Rancho Cordova,California,59444,304400.0,2017
Rancho Cucamonga,California,59451,488000.0,2017
Redding,California,59920,260000.0,2017
Redlands,California,59962,383800.0,2017
Redondo Beach,California,60018,907400.0,2017
Redwood City,California,60102,1196500.0,2017
Rialto,California,60466,307900.0,2017
Richmond,California,60620,495400.0,2017
Riverside,California,62000,368600.0,2017
Roseville,California,62938,441100.0,2017
Sacramento,California,64000,335900.0,2017
Salinas,California,64224,431500.0,2017
San Bernardino,California,65000,245900.0,2017
San Buenaventura (Ventura),California,65042,545900.0,2017
San Clemente,California,65084,894500.0,2017
San Diego,California,66000,600300.0,2017
San Francisco,California,67000,1104100.0,2017
San Jose,California,68000,854700.0,2017
San Leandro,California,68084,597000.0,2017
San Marcos,California,68196,525200.0,2017
San Mateo,California,68252,1093900.0,2017
San Ramon,California,68378,957800.0,2017
Santa Ana,California,69000,494700.0,2017
Santa Barbara,California,69070,1037400.0,2017
Santa Clara,California,69084,1001100.0,2017
Santa Clarita,California,69088,536700.0,2017
Santa Cruz,California,69112,860600.0,2017
Santa Maria,California,69196,350200.0,2017
Santa Monica,California,70000,1237500.0,2017
Santa Rosa,California,70098,568200.0,2017
Simi Valley,California,72016,602800.0,2017
South Gate,California,73080,420800.0,2017
South San Francisco,California,73262,873000.0,2017
Stockton,California,75000,282000.0,2017
Sunnyvale,California,77000,1220900.0,2017
Temecula,California,78120,457300.0,2017
Thousand Oaks,California,78582,728700.0,2017
Torrance,California,80000,760300.0,2017
Tracy,California,80238,456100.0,2017
Turlock,California,80812,305100.0,2017
Tustin,California,80854,668500.0,2017
Union City,California,81204,805100.0,2017
Upland,California,81344,495700.0,2017
Vacaville,California,81554,426400.0,2017
Vallejo,California,81666,373100.0,2017
Victorville,California,82590,221500.0,2017
Visalia,California,82954,233900.0,2017
Vista,California,82996,478000.0,2017
Walnut Creek,California,83346,814600.0,2017
West Covina,California,84200,559200.0,2017
Westminster,California,84550,600100.0,2017
Whittier,California,85292,581300.0,2017
Yorba Linda,California,86832,913700.0,2017
